R0 [km]	frag_bool	Mf [M0]	sigma_Mf[M0]	vel [km/s]	sigma_vel [km/s]	Nfrags	sigma_Nfrags
0.01	1	0.012790649232674492	0.0005751173108505999	0.013769763806277098	0.0016177367637765074	7.875	0.33071891388307384
0.020000000000000004	1	0.01399354825684895	0.0025476296820438524	0.01997615904958456	0.002697338512141828	7.375	1.0532687216470449
0.04000000000000001	1	0.018287933639348962	0.0029756180431561004	0.022287121598373143	0.0026630256022145363	5.625	0.7806247497997998
0.049999999999999996	1	0.020523782902864968	0.002964944814362786	0.026385133761293866	0.003023412594381347	5.0	0.7071067811865476
0.0645774832507442	1	0.024127683439179197	0.005690150639295929	0.03172480383642294	0.006471729730705157	4.375	0.9270248108869579
0.08340502686000295	1	0.024740774862755815	0.004281277857691424	0.04995901058717614	0.04146664154526548	4.25	0.75
0.1077217345015942	1	0.055948384726587516	0.02649857052569085	6.569243789286061	2.200437620639159	3.4375	0.6091746465505602
0.13912797011035627	1	0.1442904100818817	0.04205147435802213	14.877192085530547	0.35267711355289744	3.9375	0.5555121510822243
0.17969068319023127	1	0.38502805646425653	0.12005826489277463	17.847244096359674	0.10864193805718357	2.1875	0.5266343608235224
0.23207944168063885	1	0.42179302978532474	0.04851527576018252	18.91913711815488	0.006309503775302196	2.125	0.33071891388307384
0.2997421251594704	1	0.46203459510223316	2.1065438518830352e-06	19.35513916863907	0.0016573560672931613	2.0	0.0
0.38713184134056344	0	0.9500952816448124	0.0	19.607847375236076	0.0	1.0	0.0
0.49999999999999994	0	0.9657736242602262	0.0	19.75823810162784	0.0	1.0	0.0
0.6000000000000002	0	0.9731033425671343	0.0	19.82521260924333	0.0	1.0	0.0
0.9589428131396914	0	0.984539654416547	0.0	19.924335302210395	0.0	1.0	0.0
1.5326188647871064	0	0.9906548666878517	0.0	19.97447867063782	0.0	1.0	0.0
2.4494897427831788	0	0.9942329675818518	0.0	20.003020357284104	0.0	1.0	0.0
3.9148676411688657	0	0.996411402175468	0.0	20.02018199628392	0.0	1.0	0.0
6.256890314820031	0	0.9977595817633699	0.0	20.030744570539493	0.0	1.0	0.0
10.0	0	0.9985994383685345	0.0	20.03730830795351	0.0	1.0	0.0
