R0 [km]	frag_bool	Mf [M0]	sigma_Mf[M0]	vel [km/s]	sigma_vel [km/s]	Nfrags	sigma_Nfrags
0.01	1	0.01322277918201023	0.0008386582095968228	0.013597691079471848	0.0014094135939222395	7.625	0.4841229182759271
0.020000000000000004	1	0.013380526935730837	0.00186756495701759	0.019742877063814668	0.002989796682447156	7.625	0.7806247497997998
0.04000000000000001	1	0.019471352466178905	0.0034706330174624008	0.022584524372594193	0.002933093371876799	5.3125	0.8454843286542927
0.049999999999999996	1	0.021226068639766574	0.0050704107740280075	0.027587555472990417	0.004649636657208483	5.0	1.118033988749895
0.0645774832507442	1	0.02360992707948674	0.005226944670998178	0.03042008560115316	0.004023166589726204	4.4375	0.8637671850678283
0.08340502686000295	1	0.02552208549756183	0.005416964767279113	0.05875788366416406	0.05855937684173235	4.1875	1.0135796712641785
0.1077217345015942	1	0.056495714575186956	0.029004066879635054	6.669190794005628	2.7192060745926225	3.5625	0.6091746465505602
0.13912797011035627	1	0.18363986708985208	0.12333792350471733	15.024450652397702	0.513980364878909	3.5625	0.8637671850678283
0.17969068319023127	1	0.34321148646860455	0.06306490598582835	17.877379684720275	0.11622206254647345	2.375	0.4841229182759271
0.23207944168063885	1	0.4490365393204727	0.1201941408117213	18.92272238224072	0.015683289267909364	2.0625	0.42847841252506524
0.2997421251594704	1	0.46203544164535765	1.3152409138285022e-06	19.35744387919586	0.00412083321167706	2.0	0.0
0.38713184134056344	0	0.9500952816448124	0.0	19.607847375236076	0.0	1.0	0.0
0.49999999999999994	0	0.9657736242602262	0.0	19.75823810162784	0.0	1.0	0.0
0.6000000000000002	0	0.9731033425671343	0.0	19.82521260924333	0.0	1.0	0.0
0.9589428131396914	0	0.984539654416547	0.0	19.924335302210395	0.0	1.0	0.0
1.5326188647871064	0	0.9906548666878517	0.0	19.97447867063782	0.0	1.0	0.0
2.4494897427831788	0	0.9942329675818518	0.0	20.003020357284104	0.0	1.0	0.0
3.9148676411688657	0	0.996411402175468	0.0	20.02018199628392	0.0	1.0	0.0
6.256890314820031	0	0.9977595817633699	0.0	20.030744570539493	0.0	1.0	0.0
10.0	0	0.9985994383685345	0.0	20.03730830795351	0.0	1.0	0.0
