R0 [km]	frag_bool	Mf [M0]	sigma_Mf[M0]	vel [km/s]	sigma_vel [km/s]	Nfrags	sigma_Nfrags
0.01	1	0.10039127130335289	0.0003439641626093627	0.014341079242740362	0.0014711692994424455	7.625	0.5994789404140899
0.021544346900318832	1	0.10056911167184657	5.858434665942151e-05	0.02016327833492489	0.002682463845329565	7.125	0.8569568250501305
0.04641588833612778	1	0.10053594614171643	0.00019042950241911897	0.02678494693604698	0.004276377810487019	5.4375	0.9333240326917549
0.1	1	0.12355590605766474	0.014604881623723951	2.219722498492132	2.0393641437452055	3.5625	0.49607837082461076
0.21544346900318823	1	0.8602323726541652	0.0010109658633630932	18.71397326773625	0.0246640987455767	2.125	0.33071891388307384
0.46415888336127775	0	0.9620092281326579	0.0	19.722939449675803	0.0	0.0	0.0
1.0	0	0.9852412029989809	0.0	19.93018612127774	0.0	0.0	0.0
2.154434690031882	0	0.9934259813528085	0.0	19.996625787642714	0.0	0.0	0.0
4.6415888336127775	0	0.9969763923744478	0.0	20.024613017876263	0.0	0.0	0.0
10.0	0	0.9985994384477299	0.0	20.037308307956895	0.0	0.0	0.0
