R0 [km]	frag_bool	Mf [M0]	sigma_Mf[M0]	vel [km/s]	sigma_vel [km/s]	Nfrags	sigma_Nfrags
0.01	1	0.10048693031803485	0.00020020277736572907	0.013538076445762482	0.0011581067626817059	7.5625	0.7043392293490403
0.021544346900318832	1	0.10053139033832363	0.00012441488880597635	0.020143381713221234	0.0030693768213747867	6.75	1.0307764064044151
0.04641588833612778	1	0.10057311872765029	6.681955087791594e-05	0.025962816634202347	0.005287325239645837	5.375	0.8569568250501305
0.1	1	0.13481335055134486	0.0205683999271887	3.704592442279852	2.2842403401525475	3.4375	0.7043392293490403
0.21544346900318823	1	0.8604444589710086	0.0003893989258624853	18.701178932944714	0.005983040629508217	2.25	0.4330127018922193
0.46415888336127775	0	0.9620092281326579	0.0	19.722939449675803	0.0	0.0	0.0
1.0	0	0.9852412029989809	0.0	19.93018612127774	0.0	0.0	0.0
2.154434690031882	0	0.9934259813528085	0.0	19.996625787642714	0.0	0.0	0.0
4.6415888336127775	0	0.9969763923744478	0.0	20.024613017876263	0.0	0.0	0.0
10.0	0	0.9985994384477299	0.0	20.037308307956895	0.0	0.0	0.0
